from,to,type,count
dabenone2,Muslim_AntiPKI,retweet,1
dewe_meneh_,kanopimedia,retweet,1
dimasanugrahhhh,kanopimedia,retweet,1
dinodachi03,QaillaAsyiqah,retweet,1
donjasn,kanopimedia,retweet,1
dunianudia,syafiatudina,retweet,1
finojanvar,NurlelySiregar,retweet,1
frenkyf1,QaillaAsyiqah,retweet,1
gianko_81,QaillaAsyiqah,retweet,1
gondrongmambu,FsbnK,retweet,1
gondrongmambu,KasbiIndo,retweet,1
gondrongmambu,Lini_ZQ,retweet,1
heribintang2008,rifofficial_,retweet,1
hermawan_ba,kanopimedia,retweet,1
ilyasrf63,Lini_ZQ,retweet,1
insunpredator,FsbnK,retweet,1
insunpredator,KasbiIndo,retweet,1
insunpredator,Lini_ZQ,retweet,2
insunpredator,QaillaAsyiqah,retweet,3
insunpredator,watchdoc_ID,retweet,1
ioppiss,FraksiRakyatID,retweet,1
iskan46080452,Muslim_AntiPKI,retweet,1
islan_muhammad,kanopimedia,retweet,1
iwanalidarmawan,FsbnK,retweet,1
iwanalidarmawan,KasbiIndo,retweet,1
iwanalidarmawan,Lini_ZQ,retweet,1
john_lsmw,QaillaAsyiqah,retweet,2
journalin,RMl_id,retweet,1
kasamago,Muslim_AntiPKI,retweet,1
ken_arf01,kanopimedia,retweet,1
khoceng_gurun,QaillaAsyiqah,retweet,1
kkvrindhavan,QaillaAsyiqah,retweet,3
klarick26,AmnestyID,retweet,1
klarick26,CasperBeWin1,retweet,1
krpi_indonesia,Lini_ZQ,retweet,1
krpi_indonesia,watchdoc_ID,retweet,1
mathsoul1,CNNIndonesia,mentions,1
mathsoul1,KompasTV,mentions,1
mathsoul1,SaveMoslem1,mentions,1
mathsoul1,aniesbaswedan,mentions,2
mikicimik,Muslim_AntiPKI,retweet,1
mitaprskwnt,kanopimedia,retweet,1
mizzuddinn,SeknasKPA,retweet,1
mungkinsampai,kanopimedia,retweet,1
muwiel30_,kanopimedia,retweet,1
nana040461,QaillaAsyiqah,retweet,1
ocin71,JameelaNajma,retweet,1
osintz,Muslim_AntiPKI,retweet,1
palbapang1,QaillaAsyiqah,retweet,1
pemain_pinjaman,Antitesis101,retweet,1
perkumpulanhuma,RMl_id,retweet,1
perkumpulanhuma,perkumpulanhuma,retweet,1
poponk_sudrajat,FsbnK,retweet,1
poponk_sudrajat,KasbiIndo,retweet,1
poponk_sudrajat,Lini_ZQ,retweet,1
ranger_white28,Onyong_Marko,retweet,1
rawkaddict666,kanopimedia,retweet,1
rdSumarno1,QaillaAsyiqah,retweet,1
reylbngklng_,kanopimedia,retweet,1
rifofficial_,jokowi,mentions,1
sang_alim,QaillaAsyiqah,retweet,1
satrisarkas,kanopimedia,retweet,1
sh_tengku,QaillaAsyiqah,retweet,1
strike_bravo_b,kanopimedia,retweet,1
